2026-04-09 15:50:54  [ERROR]  Watch folder does not exist: data
2026-04-09 15:51:11  [ERROR]  Watch folder does not exist: data
2026-04-09 15:52:18  [INFO]  ============================================================
2026-04-09 15:52:18  [INFO]    Watcher Service started
2026-04-09 16:21:55  [INFO]  ── Cycle #54 ─────────────────────────────────
2026-04-09 16:21:57  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:22:27  [INFO]  ── Cycle #55 ─────────────────────────────────
2026-04-09 16:22:30  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:23:00  [INFO]  ── Cycle #56 ─────────────────────────────────
2026-04-09 16:23:03  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:23:33  [INFO]  ── Cycle #57 ─────────────────────────────────
2026-04-09 16:23:36  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:24:06  [INFO]  ── Cycle #58 ─────────────────────────────────
2026-04-09 16:24:09  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:24:39  [INFO]  ── Cycle #59 ─────────────────────────────────
2026-04-09 16:24:42  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:25:12  [INFO]  ── Cycle #60 ─────────────────────────────────
2026-04-09 16:25:14  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:25:44  [INFO]  ── Cycle #61 ─────────────────────────────────
2026-04-09 16:25:47  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:26:17  [INFO]  ── Cycle #62 ─────────────────────────────────
2026-04-09 16:26:19  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:26:49  [INFO]  ── Cycle #63 ─────────────────────────────────
2026-04-09 16:26:52  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:27:22  [INFO]  ── Cycle #64 ─────────────────────────────────
2026-04-09 16:27:25  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:27:56  [INFO]  ── Cycle #65 ─────────────────────────────────
2026-04-09 16:27:58  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:28:28  [INFO]  ── Cycle #66 ─────────────────────────────────
2026-04-09 16:28:31  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:29:01  [INFO]  ── Cycle #67 ─────────────────────────────────
2026-04-09 16:29:04  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:29:34  [INFO]  ── Cycle #68 ─────────────────────────────────
2026-04-09 16:29:38  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:30:08  [INFO]  ── Cycle #69 ─────────────────────────────────
2026-04-09 16:30:10  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:30:40  [INFO]  ── Cycle #70 ─────────────────────────────────
2026-04-09 16:30:47  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:31:17  [INFO]  ── Cycle #71 ─────────────────────────────────
2026-04-09 16:31:33  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:32:03  [INFO]  ── Cycle #72 ─────────────────────────────────
2026-04-09 16:32:06  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:32:36  [INFO]  ── Cycle #73 ─────────────────────────────────
2026-04-09 16:32:55  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:33:25  [INFO]  ── Cycle #74 ─────────────────────────────────
2026-04-09 16:33:46  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:34:16  [INFO]  ── Cycle #75 ─────────────────────────────────
2026-04-09 16:34:34  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:35:04  [INFO]  ── Cycle #76 ─────────────────────────────────
2026-04-09 16:35:26  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:35:56  [INFO]  ── Cycle #77 ─────────────────────────────────
2026-04-09 16:36:13  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:36:43  [INFO]  ── Cycle #78 ─────────────────────────────────
2026-04-09 16:37:03  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:37:33  [INFO]  ── Cycle #79 ─────────────────────────────────
2026-04-09 16:37:52  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:38:22  [INFO]  ── Cycle #80 ─────────────────────────────────
2026-04-09 16:38:39  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:39:09  [INFO]  ── Cycle #81 ─────────────────────────────────
2026-04-09 16:39:29  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:39:59  [INFO]  ── Cycle #82 ─────────────────────────────────
2026-04-09 16:40:15  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:40:45  [INFO]  ── Cycle #83 ─────────────────────────────────
2026-04-09 16:40:57  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:41:27  [INFO]  ── Cycle #84 ─────────────────────────────────
2026-04-09 16:41:40  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:42:10  [INFO]  ── Cycle #85 ─────────────────────────────────
2026-04-09 16:42:27  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:42:57  [INFO]  ── Cycle #86 ─────────────────────────────────
2026-04-09 16:42:59  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:43:29  [INFO]  ── Cycle #87 ─────────────────────────────────
2026-04-09 16:43:32  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:44:02  [INFO]  ── Cycle #88 ─────────────────────────────────
2026-04-09 16:44:19  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:44:49  [INFO]  ── Cycle #89 ─────────────────────────────────
2026-04-09 16:45:07  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:45:37  [INFO]  ── Cycle #90 ─────────────────────────────────
2026-04-09 16:45:52  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:46:22  [INFO]  ── Cycle #91 ─────────────────────────────────
2026-04-09 16:46:39  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:47:09  [INFO]  ── Cycle #92 ─────────────────────────────────
2026-04-09 16:47:27  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:47:57  [INFO]  ── Cycle #93 ─────────────────────────────────
